1,0,1,F,I,M,0
1,1,2,F,VI,D7,0
2,2,4,F,II,D7,0
3,4,6,F,V,D7,0
4,6,8,F,I,M,0
5,8,10,F,I,M,0
6,10,12,F,III,m,0
7,12,14,F,VII,D7,0
8,14,16,F,V,D7,0
9,16,17,F,I,M,0
9,17,18,F,VI,D7,0
10,18,20,F,II,D7,0
11,20,22,F,V,D7,0
12,22,23,F,I,M,0
12,23,24,F,VI,D7,0
13,24,25,F,II,m,0
13,25,26,F,#II,d,0
14,26,28,F,I,M,0
15,28,30,F,V,D7,0
16,30,32,F,I,M,0
17,32,34,F,I,M,0
18,34,36,C,I,M,0
19,36,38,C,II,D7,0
20,38,40,C,V,D7,0
21,40,42,C,I,M,0
22,42,44,C,I,M,0
23,44,46,C,V,M,0
24,46,47,C,VII,D7,0
24,47,48,C,II,D7,0
25,48,50,C,V,D7,0
26,50,52,C,I,M,0
27,52,54,C,II,D7,0
28,54,56,C,V,D7,0
29,56,57,C,I,M,0
29,57,58,C,I,D7,0
30,58,59,C,IV,M,0
30,59,60,C,IV,d,0
31,60,62,C,I,M,0
32,62,63,C,II,D7,0
32,63,64,C,V,D7,0
33,64,66,C,I,M,0
34,66,68,C,I,M,0
35,68,70,C,IV,M,0
36,70,72,Bb,I,M,0
37,72,74,Bb,II,D7,0
38,74,76,Bb,V,D7,0
39,76,78,Bb,I,M,0
40,78,80,Bb,I,M,0
41,80,82,Bb,III,m,0
42,82,84,Bb,VII,D7,0
43,84,85,Bb,III,m,0
43,85,86,Bb,V,D7,0
44,86,88,Bb,I,M,0
45,88,90,Bb,II,D7,0
46,90,92,Bb,III,D7,0
47,92,94,Bb,VI,m,0
48,94,95,Bb,II,M,0
48,95,96,Bb,II,D7,0
49,96,97,Bb,I,M,0
49,97,98,Bb,VI,D7,0
50,98,99,Bb,II,D7,0
50,99,100,Bb,V,D7,0
51,100,102,Bb,I,M,0
52,102,104,Bb,I,M,0
