1,1,4,g,I,m,0
2,4,7,g,V,D7,0
3,7,10,g,I,m,0
4,10,13,g,V,D7,0
5,13,16,g,I,m,0
6,16,19,g,I,D7,0
7,19,28,g,IV,m,0
10,28,31,g,VI,D7,0
11,31,37,g,V,D7,0
13,37,40,g,IV,m,0
14,40,43,g,V,D7,0
15,43,46,g,I,m,0
16,46,49,g,V,D7,0
17,49,52,g,I,m,0
18,52,55,g,V,D7,0
19,55,58,g,I,m,0
20,58,61,g,V,D7,0
21,61,64,g,VII,m,0
22,64,67,g,I,D7,0
23,67,70,g,VII,m,0
24,70,73,g,IV,m,0
25,73,76,g,IV,m,0
26,76,79,g,IV,m,0
27,79,82,g,I,m,0
28,82,85,g,I,m,0
29,85,88,g,II,D7,0
30,88,91,g,V,D7,0
31,91,97,g,I,m,0
33,97,100,Bb,V,D7,0
34,100,103,Bb,V,D7,0
35,103,106,Bb,I,M,0
36,106,109,Bb,I,M,0
37,109,112,Bb,#VI,d,0
38,112,115,Bb,V,M,0
39,115,118,Bb,#IV,d,0
40,118,121,Bb,I,M,0
41,121,124,Bb,V,D7,0
42,124,127,Bb,V,D7,0
43,127,130,Bb,I,M,0
44,130,133,Bb,I,M,0
45,133,136,Bb,III,m,0
46,136,139,Bb,VII,D7,0
47,139,142,Bb,III,m,0
48,142,145,Bb,III,m,0
49,145,148,Bb,V,D7,0
50,148,151,Bb,V,D7,0
51,151,154,Bb,I,M,0
52,154,157,Bb,I,M,0
53,157,160,Bb,#VI,d,0
54,160,163,Bb,V,M,0
55,163,166,Bb,#IV,d,0
56,166,169,Bb,I,M,0
57,169,172,Bb,V,m,0
58,172,175,Bb,VI,D7,0
59,175,178,Bb,II,m,0
60,178,181,Bb,#II,d,0
61,181,184,Bb,I,M,0
62,184,187,Bb,V,D7,0
63,187,190,Bb,I,M,0
64,190,193,G,bIII,M,0
65,193,196,G,I,M,0
66,196,199,G,V,D7,0
67,199,211,G,I,M,0
71,211,223,G,II,m,0
75,223,235,G,V,D7,0
79,235,238,G,#IV,d,0
80,238,241,G,I,M,0
81,241,244,G,I,M,0
82,244,247,G,V,D7,0
83,247,250,G,I,M,0
84,250,253,G,I,M,0
85,253,256,G,bVII,D7,0
86,256,259,G,VI,D7,0
87,259,265,G,II,m,0
89,265,268,G,bIII,d,0
90,268,271,G,#IV,d,0
91,271,274,G,I,M,0
92,274,277,G,VI,D7,0
93,277,280,G,II,D7,0
94,280,283,G,V,D7,0
95,283,289,G,I,M,0
