1,1,3,A,V,D7,0
2,3,5,A,I,M,0
3,5,7,A,V,D7,0
4,7,9,A,I,M,0
5,9,11,A,V,D7,0
6,11,13,A,I,M,0
7,13,15,A,II,D7,0
8,15,17,A,V,D7,0
9,17,19,A,V,D7,0
10,19,21,A,I,M,0
11,21,23,A,V,D7,0
12,23,25,A,I,M,0
13,25,27,A,VI,D7,0
14,27,28,A,II,m,0
14,28,29,A,bV,d,0
15,29,30,A,I,M,0
15,30,31,A,V,D7,0
16,31,33,A,I,M,0
17,33,35,A,III,D7,0
18,35,37,A,VI,m,0
19,37,39,A,V,D7,0
20,39,41,A,I,M,0
21,41,43,A,bV,d,0
22,43,45,A,I,M,0
23,45,46,A,II,D7,0
23,46,47,A,V,D7,0
24,47,49,A,I,M,0
25,49,51,A,III,D7,0
26,51,53,A,VI,m,0
27,53,55,A,V,D7,0
28,55,57,A,I,M,0
29,57,59,A,bV,d,0
30,59,61,A,I,M,0
31,61,62,A,bVI,D7,0
31,62,63,A,V,D7,0
32,63,65,A,I,M,0
33,65,67,A,I,M,0
34,67,69,A,I,d,0
35,69,71,A,VII,d,0
36,71,73,A,I,M,0
37,73,75,A,I,M,0
38,75,77,A,I,d,0
39,77,81,A,VII,d,0
41,81,85,D,V,D7,0
43,85,89,D,I,M,0
45,89,91,D,II,D7,0
46,91,93,D,V,D7,0
47,93,94,D,I,M,0
47,94,95,D,V,D7,0
48,95,97,D,I,M,0
49,97,101,D,V,D7,0
51,101,103,D,I,M,0
52,103,104,D,I,M,0
52,104,105,D,bII,d,0
53,105,107,D,V,M,0
54,107,109,D,II,D7,0
55,109,441/4,D,V,M,0
55,441/4,111,D,V,M,0
56,111,112,D,VI,d,0
56,112,113,D,bVII,d,0
57,113,114,D,I,M,0
57,114,115,D,I,D7,0
58,115,116,D,IV,M,0
58,116,117,D,bVI,D7,0
59,117,118,D,I,M,0
59,118,119,D,V,D7,0
60,119,120,D,I,M,0
60,120,121,D,V,M,0
61,121,123,D,I,M,0
