12,18,F,I,M,0
18,24,F,II,D7,0
24,30,F,V,D7,0
30,39,F,I,M,0
39,42,F,I,m,0
42,45,F,V,M,0
45,48,F,III,D7,0
48,51,F,VI,D7,0
51,54,F,II,D7,0
54,57,F,V,M,0
57,60,F,V,D7,0
60,66,F,I,M,0
66,72,F,II,D7,0
72,78,F,V,D7,0
78,87,F,I,M,0
87,90,F,I,m,0
90,96,F,V,M,0
96,99,F,VI,D7,0
99,102,F,II,D7,0
102,105,F,V,M,0
105,108,F,I,M,0
108,114,F,V,D7,0
114,120,F,I,M,0
120,123,F,II,D7,0
123,126,F,V,D7,0
126,132,F,I,M,0
132,138,F,II,D7,0
138,141,F,I,M,0
141,144,F,IV,unknown,0
144,147,F,I,M,0
147,150,F,V,D7,0
150,159,F,I,M,0
159,165,F,V,D7,0
165,171,F,I,M,0
171,174,F,#I,unknown,0
174,177,F,VI,D7,0
177,183,F,II,m,0
183,186,F,IV,M,0
186,189,F,IV,d,0
189,195,F,I,M,0
195,198,F,II,D7,0
198,201,F,V,D7,0
201,207,F,I,M,0
207,213,Bb,#I,M,0
213,216,Bb,IV,m,0
216,219,Bb,II,D7,0
219,225,Bb,V,D7,0
225,228,Bb,I,d,0
228,231,Bb,I,M,0
231,237,Bb,VI,D7,0
237,240,Bb,II,m,0
240,243,Bb,IV,m,0
243,246,Bb,I,M,0
246,249,Bb,V,D7,0
249,255,Bb,I,M,0
255,258,Bb,I,M,0
258,261,Bb,I,m,0
261,264,Bb,V,M,0
264,267,Bb,III,D7,0
267,270,Bb,VI,D7,0
270,273,Bb,II,D7,0
273,279,Bb,V,M,0
