0,1,F,III,m,0
1,2,F,VI,D7,0
2,4,F,II,M,0
4,6,F,V,D7,0
6,25/4,F,V,unknown,0
25/4,8,F,V,M,0
8,10,F,I,M,0
10,12,F,III,m,0
12,14,F,VII,M,0
14,16,F,V,M,0
16,17,F,I,M,0
17,18,F,VI,D7,0
18,75/4,F,II,unknown,0
75/4,20,F,II,D7,0
20,22,F,V,D7,0
22,23,F,I,M,0
23,24,F,VI,D7,0
24,25,F,V,D7,0
25,28,F,I,M,0
28,30,F,V,M,0
30,32,F,I,M,0
32,34,F,V,M,0
34,137/4,C,II,unknown,0
137/4,36,C,II,D7,0
36,145/4,C,V,M,0
145/4,38,C,V,D7,0
38,153/4,C,I,M,0
153/4,40,C,I,M,0
40,42,C,I,M,0
42,44,C,V,M,0
44,46,C,II,D7,0
46,185/4,C,V,unknown,0
185/4,48,C,V,D7,0
48,50,C,I,M,0
50,201/4,C,II,unknown,0
201/4,52,C,II,D7,0
52,209/4,C,V,M,0
209/4,54,C,V,D7,0
54,109/2,C,I,M,0
109/2,55,C,I,M,0
55,56,C,I,D7,0
56,57,C,IV,M,0
57,58,C,IV,D7,0
58,60,C,I,M,0
60,62,C,V,D7,0
62,64,C,I,M,0
64,66,C,IV,M,0
66,68,C,bVII,M,0
68,70,C,I,M,0
70,285/4,Bb,V,M,0
285/4,72,Bb,V,D7,0
72,73,Bb,I,M,0
73,76,Bb,I,M,0
76,78,Bb,V,M,0
78,80,Bb,VII,M,0
80,81,Bb,V,M,0
81,82,Bb,V,D7,0
82,84,Bb,I,M,0
84,86,Bb,II,D7,0
86,88,Bb,III,D7,0
88,90,Bb,II,D7,0
90,361/4,Bb,II,unknown,0
361/4,92,Bb,II,D7,0
92,93,Bb,I,M,0
93,94,Bb,VI,m7,0
94,96,Bb,V,D7,0
96,104,Bb,I,M,0
